	RaceHorses_832x448_30.yuv 832 448 30			BasketballDrill_832x448_50.yuv 832 448 50			BQMall_832x448_60.yuv 832 448 60			PartyScene_832x448_50.yuv 832 448 50		
c33	-p SearchRange=64 -p PSliceSearch8x16=1 -p NumberReferenceFrames=4 -p PSliceSearch4x8=1 -p BSliceSearch8x4=1 -p BReferencePictures=2 -p BSliceSearch8x8=1 -p UseRDOQuant=1 -p WeightedPrediction=1 -p BiPredMESubPel=2 -p BSliceSearch8x16=1 -p SearchMode=3 -p EPZSPattern=5 -p EPZSDualRefinement=6 -p BiPredMERefinements=1 -p PSliceSearch8x4=0 -p BSliceSearch16x16=1 -p MDDistortion=2 -p MEDistortionHPel=2 -p PSliceSearch8x8=1 -p ChromaMEEnable=2 -p BSliceSearch16x8=1 -p EPZSSubPelMEBipred=1 -p MEDistortionQPel=2 -p PSliceSearch16x8=1 -p DisableSubpelME=0 -p BiPredMotionEstimation=1 -p RDOQ_Fast=1 -p MEDistortionFPel=1 -p WeightedBiprediction=2 -p PSliceSearch16x16=1 -p PSliceSearch4x4=1 -p BiPredMESearchRange=8 -p EPZSSubPelME=1
c34	-p SearchRange=64 -p PSliceSearch8x16=1 -p NumberReferenceFrames=4 -p PSliceSearch4x8=1 -p BSliceSearch8x4=1 -p BReferencePictures=2 -p BSliceSearch8x8=1 -p UseRDOQuant=1 -p WeightedPrediction=1 -p BiPredMESubPel=2 -p BSliceSearch8x16=1 -p SearchMode=3 -p EPZSPattern=5 -p EPZSDualRefinement=6 -p BiPredMERefinements=1 -p PSliceSearch8x4=1 -p BSliceSearch16x16=0 -p MDDistortion=2 -p MEDistortionHPel=2 -p PSliceSearch8x8=1 -p ChromaMEEnable=2 -p BSliceSearch16x8=1 -p EPZSSubPelMEBipred=1 -p MEDistortionQPel=2 -p PSliceSearch16x8=1 -p DisableSubpelME=0 -p BiPredMotionEstimation=1 -p RDOQ_Fast=1 -p MEDistortionFPel=1 -p WeightedBiprediction=2 -p PSliceSearch16x16=1 -p PSliceSearch4x4=1 -p BiPredMESearchRange=8 -p EPZSSubPelME=1
c35	-p SearchRange=64 -p PSliceSearch8x16=1 -p NumberReferenceFrames=4 -p PSliceSearch4x8=1 -p BSliceSearch8x4=1 -p BReferencePictures=2 -p BSliceSearch8x8=1 -p UseRDOQuant=1 -p WeightedPrediction=1 -p BiPredMESubPel=2 -p BSliceSearch8x16=1 -p SearchMode=3 -p EPZSPattern=5 -p EPZSDualRefinement=6 -p BiPredMERefinements=1 -p PSliceSearch8x4=1 -p BSliceSearch16x16=1 -p MDDistortion=1 -p MEDistortionHPel=2 -p PSliceSearch8x8=1 -p ChromaMEEnable=2 -p BSliceSearch16x8=1 -p EPZSSubPelMEBipred=1 -p MEDistortionQPel=2 -p PSliceSearch16x8=1 -p DisableSubpelME=0 -p BiPredMotionEstimation=1 -p RDOQ_Fast=1 -p MEDistortionFPel=1 -p WeightedBiprediction=2 -p PSliceSearch16x16=1 -p PSliceSearch4x4=1 -p BiPredMESearchRange=8 -p EPZSSubPelME=1
c36	-p SearchRange=64 -p PSliceSearch8x16=1 -p NumberReferenceFrames=4 -p PSliceSearch4x8=1 -p BSliceSearch8x4=1 -p BReferencePictures=2 -p BSliceSearch8x8=1 -p UseRDOQuant=1 -p WeightedPrediction=1 -p BiPredMESubPel=2 -p BSliceSearch8x16=1 -p SearchMode=3 -p EPZSPattern=5 -p EPZSDualRefinement=6 -p BiPredMERefinements=1 -p PSliceSearch8x4=1 -p BSliceSearch16x16=1 -p MDDistortion=0 -p MEDistortionHPel=2 -p PSliceSearch8x8=1 -p ChromaMEEnable=2 -p BSliceSearch16x8=1 -p EPZSSubPelMEBipred=1 -p MEDistortionQPel=2 -p PSliceSearch16x8=1 -p DisableSubpelME=0 -p BiPredMotionEstimation=1 -p RDOQ_Fast=1 -p MEDistortionFPel=1 -p WeightedBiprediction=2 -p PSliceSearch16x16=1 -p PSliceSearch4x4=1 -p BiPredMESearchRange=8 -p EPZSSubPelME=1
c37	-p SearchRange=64 -p PSliceSearch8x16=1 -p NumberReferenceFrames=4 -p PSliceSearch4x8=1 -p BSliceSearch8x4=1 -p BReferencePictures=2 -p BSliceSearch8x8=1 -p UseRDOQuant=1 -p WeightedPrediction=1 -p BiPredMESubPel=2 -p BSliceSearch8x16=1 -p SearchMode=3 -p EPZSPattern=5 -p EPZSDualRefinement=6 -p BiPredMERefinements=1 -p PSliceSearch8x4=1 -p BSliceSearch16x16=1 -p MDDistortion=2 -p MEDistortionHPel=1 -p PSliceSearch8x8=1 -p ChromaMEEnable=2 -p BSliceSearch16x8=1 -p EPZSSubPelMEBipred=1 -p MEDistortionQPel=2 -p PSliceSearch16x8=1 -p DisableSubpelME=0 -p BiPredMotionEstimation=1 -p RDOQ_Fast=1 -p MEDistortionFPel=1 -p WeightedBiprediction=2 -p PSliceSearch16x16=1 -p PSliceSearch4x4=1 -p BiPredMESearchRange=8 -p EPZSSubPelME=1
c38	-p SearchRange=64 -p PSliceSearch8x16=1 -p NumberReferenceFrames=4 -p PSliceSearch4x8=1 -p BSliceSearch8x4=1 -p BReferencePictures=2 -p BSliceSearch8x8=1 -p UseRDOQuant=1 -p WeightedPrediction=1 -p BiPredMESubPel=2 -p BSliceSearch8x16=1 -p SearchMode=3 -p EPZSPattern=5 -p EPZSDualRefinement=6 -p BiPredMERefinements=1 -p PSliceSearch8x4=1 -p BSliceSearch16x16=1 -p MDDistortion=2 -p MEDistortionHPel=0 -p PSliceSearch8x8=1 -p ChromaMEEnable=2 -p BSliceSearch16x8=1 -p EPZSSubPelMEBipred=1 -p MEDistortionQPel=2 -p PSliceSearch16x8=1 -p DisableSubpelME=0 -p BiPredMotionEstimation=1 -p RDOQ_Fast=1 -p MEDistortionFPel=1 -p WeightedBiprediction=2 -p PSliceSearch16x16=1 -p PSliceSearch4x4=1 -p BiPredMESearchRange=8 -p EPZSSubPelME=1
c39	-p SearchRange=64 -p PSliceSearch8x16=1 -p NumberReferenceFrames=4 -p PSliceSearch4x8=1 -p BSliceSearch8x4=1 -p BReferencePictures=2 -p BSliceSearch8x8=1 -p UseRDOQuant=1 -p WeightedPrediction=1 -p BiPredMESubPel=2 -p BSliceSearch8x16=1 -p SearchMode=3 -p EPZSPattern=5 -p EPZSDualRefinement=6 -p BiPredMERefinements=1 -p PSliceSearch8x4=1 -p BSliceSearch16x16=1 -p MDDistortion=2 -p MEDistortionHPel=2 -p PSliceSearch8x8=0 -p ChromaMEEnable=2 -p BSliceSearch16x8=1 -p EPZSSubPelMEBipred=1 -p MEDistortionQPel=2 -p PSliceSearch16x8=1 -p DisableSubpelME=0 -p BiPredMotionEstimation=1 -p RDOQ_Fast=1 -p MEDistortionFPel=1 -p WeightedBiprediction=2 -p PSliceSearch16x16=1 -p PSliceSearch4x4=1 -p BiPredMESearchRange=8 -p EPZSSubPelME=1
c40	-p SearchRange=64 -p PSliceSearch8x16=1 -p NumberReferenceFrames=4 -p PSliceSearch4x8=1 -p BSliceSearch8x4=1 -p BReferencePictures=2 -p BSliceSearch8x8=1 -p UseRDOQuant=1 -p WeightedPrediction=1 -p BiPredMESubPel=2 -p BSliceSearch8x16=1 -p SearchMode=3 -p EPZSPattern=5 -p EPZSDualRefinement=6 -p BiPredMERefinements=1 -p PSliceSearch8x4=1 -p BSliceSearch16x16=1 -p MDDistortion=2 -p MEDistortionHPel=2 -p PSliceSearch8x8=1 -p ChromaMEEnable=1 -p BSliceSearch16x8=1 -p EPZSSubPelMEBipred=1 -p MEDistortionQPel=2 -p PSliceSearch16x8=1 -p DisableSubpelME=0 -p BiPredMotionEstimation=1 -p RDOQ_Fast=1 -p MEDistortionFPel=1 -p WeightedBiprediction=2 -p PSliceSearch16x16=1 -p PSliceSearch4x4=1 -p BiPredMESearchRange=8 -p EPZSSubPelME=1
c41	-p SearchRange=64 -p PSliceSearch8x16=1 -p NumberReferenceFrames=4 -p PSliceSearch4x8=1 -p BSliceSearch8x4=1 -p BReferencePictures=2 -p BSliceSearch8x8=1 -p UseRDOQuant=1 -p WeightedPrediction=1 -p BiPredMESubPel=2 -p BSliceSearch8x16=1 -p SearchMode=3 -p EPZSPattern=5 -p EPZSDualRefinement=6 -p BiPredMERefinements=1 -p PSliceSearch8x4=1 -p BSliceSearch16x16=1 -p MDDistortion=2 -p MEDistortionHPel=2 -p PSliceSearch8x8=1 -p ChromaMEEnable=0 -p BSliceSearch16x8=1 -p EPZSSubPelMEBipred=1 -p MEDistortionQPel=2 -p PSliceSearch16x8=1 -p DisableSubpelME=0 -p BiPredMotionEstimation=1 -p RDOQ_Fast=1 -p MEDistortionFPel=1 -p WeightedBiprediction=2 -p PSliceSearch16x16=1 -p PSliceSearch4x4=1 -p BiPredMESearchRange=8 -p EPZSSubPelME=1
c42	-p SearchRange=64 -p PSliceSearch8x16=1 -p NumberReferenceFrames=4 -p PSliceSearch4x8=1 -p BSliceSearch8x4=1 -p BReferencePictures=2 -p BSliceSearch8x8=1 -p UseRDOQuant=1 -p WeightedPrediction=1 -p BiPredMESubPel=2 -p BSliceSearch8x16=1 -p SearchMode=3 -p EPZSPattern=5 -p EPZSDualRefinement=6 -p BiPredMERefinements=1 -p PSliceSearch8x4=1 -p BSliceSearch16x16=1 -p MDDistortion=2 -p MEDistortionHPel=2 -p PSliceSearch8x8=1 -p ChromaMEEnable=2 -p BSliceSearch16x8=0 -p EPZSSubPelMEBipred=1 -p MEDistortionQPel=2 -p PSliceSearch16x8=1 -p DisableSubpelME=0 -p BiPredMotionEstimation=1 -p RDOQ_Fast=1 -p MEDistortionFPel=1 -p WeightedBiprediction=2 -p PSliceSearch16x16=1 -p PSliceSearch4x4=1 -p BiPredMESearchRange=8 -p EPZSSubPelME=1
c43	-p SearchRange=64 -p PSliceSearch8x16=1 -p NumberReferenceFrames=4 -p PSliceSearch4x8=1 -p BSliceSearch8x4=1 -p BReferencePictures=2 -p BSliceSearch8x8=1 -p UseRDOQuant=1 -p WeightedPrediction=1 -p BiPredMESubPel=2 -p BSliceSearch8x16=1 -p SearchMode=3 -p EPZSPattern=5 -p EPZSDualRefinement=6 -p BiPredMERefinements=1 -p PSliceSearch8x4=1 -p BSliceSearch16x16=1 -p MDDistortion=2 -p MEDistortionHPel=2 -p PSliceSearch8x8=1 -p ChromaMEEnable=2 -p BSliceSearch16x8=1 -p EPZSSubPelMEBipred=0 -p MEDistortionQPel=2 -p PSliceSearch16x8=1 -p DisableSubpelME=0 -p BiPredMotionEstimation=1 -p RDOQ_Fast=1 -p MEDistortionFPel=1 -p WeightedBiprediction=2 -p PSliceSearch16x16=1 -p PSliceSearch4x4=1 -p BiPredMESearchRange=8 -p EPZSSubPelME=1
c44	-p SearchRange=64 -p PSliceSearch8x16=1 -p NumberReferenceFrames=4 -p PSliceSearch4x8=1 -p BSliceSearch8x4=1 -p BReferencePictures=2 -p BSliceSearch8x8=1 -p UseRDOQuant=1 -p WeightedPrediction=1 -p BiPredMESubPel=2 -p BSliceSearch8x16=1 -p SearchMode=3 -p EPZSPattern=5 -p EPZSDualRefinement=6 -p BiPredMERefinements=1 -p PSliceSearch8x4=1 -p BSliceSearch16x16=1 -p MDDistortion=2 -p MEDistortionHPel=2 -p PSliceSearch8x8=1 -p ChromaMEEnable=2 -p BSliceSearch16x8=1 -p EPZSSubPelMEBipred=1 -p MEDistortionQPel=1 -p PSliceSearch16x8=1 -p DisableSubpelME=0 -p BiPredMotionEstimation=1 -p RDOQ_Fast=1 -p MEDistortionFPel=1 -p WeightedBiprediction=2 -p PSliceSearch16x16=1 -p PSliceSearch4x4=1 -p BiPredMESearchRange=8 -p EPZSSubPelME=1
c45	-p SearchRange=64 -p PSliceSearch8x16=1 -p NumberReferenceFrames=4 -p PSliceSearch4x8=1 -p BSliceSearch8x4=1 -p BReferencePictures=2 -p BSliceSearch8x8=1 -p UseRDOQuant=1 -p WeightedPrediction=1 -p BiPredMESubPel=2 -p BSliceSearch8x16=1 -p SearchMode=3 -p EPZSPattern=5 -p EPZSDualRefinement=6 -p BiPredMERefinements=1 -p PSliceSearch8x4=1 -p BSliceSearch16x16=1 -p MDDistortion=2 -p MEDistortionHPel=2 -p PSliceSearch8x8=1 -p ChromaMEEnable=2 -p BSliceSearch16x8=1 -p EPZSSubPelMEBipred=1 -p MEDistortionQPel=0 -p PSliceSearch16x8=1 -p DisableSubpelME=0 -p BiPredMotionEstimation=1 -p RDOQ_Fast=1 -p MEDistortionFPel=1 -p WeightedBiprediction=2 -p PSliceSearch16x16=1 -p PSliceSearch4x4=1 -p BiPredMESearchRange=8 -p EPZSSubPelME=1
c46	-p SearchRange=64 -p PSliceSearch8x16=1 -p NumberReferenceFrames=4 -p PSliceSearch4x8=1 -p BSliceSearch8x4=1 -p BReferencePictures=2 -p BSliceSearch8x8=1 -p UseRDOQuant=1 -p WeightedPrediction=1 -p BiPredMESubPel=2 -p BSliceSearch8x16=1 -p SearchMode=3 -p EPZSPattern=5 -p EPZSDualRefinement=6 -p BiPredMERefinements=1 -p PSliceSearch8x4=1 -p BSliceSearch16x16=1 -p MDDistortion=2 -p MEDistortionHPel=2 -p PSliceSearch8x8=1 -p ChromaMEEnable=2 -p BSliceSearch16x8=1 -p EPZSSubPelMEBipred=1 -p MEDistortionQPel=2 -p PSliceSearch16x8=0 -p DisableSubpelME=0 -p BiPredMotionEstimation=1 -p RDOQ_Fast=1 -p MEDistortionFPel=1 -p WeightedBiprediction=2 -p PSliceSearch16x16=1 -p PSliceSearch4x4=1 -p BiPredMESearchRange=8 -p EPZSSubPelME=1
c47	-p SearchRange=64 -p PSliceSearch8x16=1 -p NumberReferenceFrames=4 -p PSliceSearch4x8=1 -p BSliceSearch8x4=1 -p BReferencePictures=2 -p BSliceSearch8x8=1 -p UseRDOQuant=1 -p WeightedPrediction=1 -p BiPredMESubPel=2 -p BSliceSearch8x16=1 -p SearchMode=3 -p EPZSPattern=5 -p EPZSDualRefinement=6 -p BiPredMERefinements=1 -p PSliceSearch8x4=1 -p BSliceSearch16x16=1 -p MDDistortion=2 -p MEDistortionHPel=2 -p PSliceSearch8x8=1 -p ChromaMEEnable=2 -p BSliceSearch16x8=1 -p EPZSSubPelMEBipred=1 -p MEDistortionQPel=2 -p PSliceSearch16x8=1 -p DisableSubpelME=1 -p BiPredMotionEstimation=1 -p RDOQ_Fast=1 -p MEDistortionFPel=1 -p WeightedBiprediction=2 -p PSliceSearch16x16=1 -p PSliceSearch4x4=1 -p BiPredMESearchRange=8 -p EPZSSubPelME=1
c48	-p SearchRange=64 -p PSliceSearch8x16=1 -p NumberReferenceFrames=4 -p PSliceSearch4x8=1 -p BSliceSearch8x4=1 -p BReferencePictures=2 -p BSliceSearch8x8=1 -p UseRDOQuant=1 -p WeightedPrediction=1 -p BiPredMESubPel=2 -p BSliceSearch8x16=1 -p SearchMode=3 -p EPZSPattern=5 -p EPZSDualRefinement=6 -p BiPredMERefinements=1 -p PSliceSearch8x4=1 -p BSliceSearch16x16=1 -p MDDistortion=2 -p MEDistortionHPel=2 -p PSliceSearch8x8=1 -p ChromaMEEnable=2 -p BSliceSearch16x8=1 -p EPZSSubPelMEBipred=1 -p MEDistortionQPel=2 -p PSliceSearch16x8=1 -p DisableSubpelME=0 -p BiPredMotionEstimation=0 -p RDOQ_Fast=1 -p MEDistortionFPel=1 -p WeightedBiprediction=2 -p PSliceSearch16x16=1 -p PSliceSearch4x4=1 -p BiPredMESearchRange=8 -p EPZSSubPelME=1
c49	-p SearchRange=64 -p PSliceSearch8x16=1 -p NumberReferenceFrames=4 -p PSliceSearch4x8=1 -p BSliceSearch8x4=1 -p BReferencePictures=2 -p BSliceSearch8x8=1 -p UseRDOQuant=1 -p WeightedPrediction=1 -p BiPredMESubPel=2 -p BSliceSearch8x16=1 -p SearchMode=3 -p EPZSPattern=5 -p EPZSDualRefinement=6 -p BiPredMERefinements=1 -p PSliceSearch8x4=1 -p BSliceSearch16x16=1 -p MDDistortion=2 -p MEDistortionHPel=2 -p PSliceSearch8x8=1 -p ChromaMEEnable=2 -p BSliceSearch16x8=1 -p EPZSSubPelMEBipred=1 -p MEDistortionQPel=2 -p PSliceSearch16x8=1 -p DisableSubpelME=0 -p BiPredMotionEstimation=1 -p RDOQ_Fast=0 -p MEDistortionFPel=1 -p WeightedBiprediction=2 -p PSliceSearch16x16=1 -p PSliceSearch4x4=1 -p BiPredMESearchRange=8 -p EPZSSubPelME=1
c50	-p SearchRange=64 -p PSliceSearch8x16=1 -p NumberReferenceFrames=4 -p PSliceSearch4x8=1 -p BSliceSearch8x4=1 -p BReferencePictures=2 -p BSliceSearch8x8=1 -p UseRDOQuant=1 -p WeightedPrediction=1 -p BiPredMESubPel=2 -p BSliceSearch8x16=1 -p SearchMode=3 -p EPZSPattern=5 -p EPZSDualRefinement=6 -p BiPredMERefinements=1 -p PSliceSearch8x4=1 -p BSliceSearch16x16=1 -p MDDistortion=2 -p MEDistortionHPel=2 -p PSliceSearch8x8=1 -p ChromaMEEnable=2 -p BSliceSearch16x8=1 -p EPZSSubPelMEBipred=1 -p MEDistortionQPel=2 -p PSliceSearch16x8=1 -p DisableSubpelME=0 -p BiPredMotionEstimation=1 -p RDOQ_Fast=1 -p MEDistortionFPel=0 -p WeightedBiprediction=2 -p PSliceSearch16x16=1 -p PSliceSearch4x4=1 -p BiPredMESearchRange=8 -p EPZSSubPelME=1
c51	-p SearchRange=64 -p PSliceSearch8x16=1 -p NumberReferenceFrames=4 -p PSliceSearch4x8=1 -p BSliceSearch8x4=1 -p BReferencePictures=2 -p BSliceSearch8x8=1 -p UseRDOQuant=1 -p WeightedPrediction=1 -p BiPredMESubPel=2 -p BSliceSearch8x16=1 -p SearchMode=3 -p EPZSPattern=5 -p EPZSDualRefinement=6 -p BiPredMERefinements=1 -p PSliceSearch8x4=1 -p BSliceSearch16x16=1 -p MDDistortion=2 -p MEDistortionHPel=2 -p PSliceSearch8x8=1 -p ChromaMEEnable=2 -p BSliceSearch16x8=1 -p EPZSSubPelMEBipred=1 -p MEDistortionQPel=2 -p PSliceSearch16x8=1 -p DisableSubpelME=0 -p BiPredMotionEstimation=1 -p RDOQ_Fast=1 -p MEDistortionFPel=1 -p WeightedBiprediction=1 -p PSliceSearch16x16=1 -p PSliceSearch4x4=1 -p BiPredMESearchRange=8 -p EPZSSubPelME=1
c52	-p SearchRange=64 -p PSliceSearch8x16=1 -p NumberReferenceFrames=4 -p PSliceSearch4x8=1 -p BSliceSearch8x4=1 -p BReferencePictures=2 -p BSliceSearch8x8=1 -p UseRDOQuant=1 -p WeightedPrediction=1 -p BiPredMESubPel=2 -p BSliceSearch8x16=1 -p SearchMode=3 -p EPZSPattern=5 -p EPZSDualRefinement=6 -p BiPredMERefinements=1 -p PSliceSearch8x4=1 -p BSliceSearch16x16=1 -p MDDistortion=2 -p MEDistortionHPel=2 -p PSliceSearch8x8=1 -p ChromaMEEnable=2 -p BSliceSearch16x8=1 -p EPZSSubPelMEBipred=1 -p MEDistortionQPel=2 -p PSliceSearch16x8=1 -p DisableSubpelME=0 -p BiPredMotionEstimation=1 -p RDOQ_Fast=1 -p MEDistortionFPel=1 -p WeightedBiprediction=0 -p PSliceSearch16x16=1 -p PSliceSearch4x4=1 -p BiPredMESearchRange=8 -p EPZSSubPelME=1
c53	-p SearchRange=64 -p PSliceSearch8x16=1 -p NumberReferenceFrames=4 -p PSliceSearch4x8=1 -p BSliceSearch8x4=1 -p BReferencePictures=2 -p BSliceSearch8x8=1 -p UseRDOQuant=1 -p WeightedPrediction=1 -p BiPredMESubPel=2 -p BSliceSearch8x16=1 -p SearchMode=3 -p EPZSPattern=5 -p EPZSDualRefinement=6 -p BiPredMERefinements=1 -p PSliceSearch8x4=1 -p BSliceSearch16x16=1 -p MDDistortion=2 -p MEDistortionHPel=2 -p PSliceSearch8x8=1 -p ChromaMEEnable=2 -p BSliceSearch16x8=1 -p EPZSSubPelMEBipred=1 -p MEDistortionQPel=2 -p PSliceSearch16x8=1 -p DisableSubpelME=0 -p BiPredMotionEstimation=1 -p RDOQ_Fast=1 -p MEDistortionFPel=1 -p WeightedBiprediction=2 -p PSliceSearch16x16=0 -p PSliceSearch4x4=1 -p BiPredMESearchRange=8 -p EPZSSubPelME=1
c54	-p SearchRange=64 -p PSliceSearch8x16=1 -p NumberReferenceFrames=4 -p PSliceSearch4x8=1 -p BSliceSearch8x4=1 -p BReferencePictures=2 -p BSliceSearch8x8=1 -p UseRDOQuant=1 -p WeightedPrediction=1 -p BiPredMESubPel=2 -p BSliceSearch8x16=1 -p SearchMode=3 -p EPZSPattern=5 -p EPZSDualRefinement=6 -p BiPredMERefinements=1 -p PSliceSearch8x4=1 -p BSliceSearch16x16=1 -p MDDistortion=2 -p MEDistortionHPel=2 -p PSliceSearch8x8=1 -p ChromaMEEnable=2 -p BSliceSearch16x8=1 -p EPZSSubPelMEBipred=1 -p MEDistortionQPel=2 -p PSliceSearch16x8=1 -p DisableSubpelME=0 -p BiPredMotionEstimation=1 -p RDOQ_Fast=1 -p MEDistortionFPel=1 -p WeightedBiprediction=2 -p PSliceSearch16x16=1 -p PSliceSearch4x4=0 -p BiPredMESearchRange=8 -p EPZSSubPelME=1
c55	-p SearchRange=64 -p PSliceSearch8x16=1 -p NumberReferenceFrames=4 -p PSliceSearch4x8=1 -p BSliceSearch8x4=1 -p BReferencePictures=2 -p BSliceSearch8x8=1 -p UseRDOQuant=1 -p WeightedPrediction=1 -p BiPredMESubPel=2 -p BSliceSearch8x16=1 -p SearchMode=3 -p EPZSPattern=5 -p EPZSDualRefinement=6 -p BiPredMERefinements=1 -p PSliceSearch8x4=1 -p BSliceSearch16x16=1 -p MDDistortion=2 -p MEDistortionHPel=2 -p PSliceSearch8x8=1 -p ChromaMEEnable=2 -p BSliceSearch16x8=1 -p EPZSSubPelMEBipred=1 -p MEDistortionQPel=2 -p PSliceSearch16x8=1 -p DisableSubpelME=0 -p BiPredMotionEstimation=1 -p RDOQ_Fast=1 -p MEDistortionFPel=1 -p WeightedBiprediction=2 -p PSliceSearch16x16=1 -p PSliceSearch4x4=1 -p BiPredMESearchRange=4 -p EPZSSubPelME=1
c56	-p SearchRange=64 -p PSliceSearch8x16=1 -p NumberReferenceFrames=4 -p PSliceSearch4x8=1 -p BSliceSearch8x4=1 -p BReferencePictures=2 -p BSliceSearch8x8=1 -p UseRDOQuant=1 -p WeightedPrediction=1 -p BiPredMESubPel=2 -p BSliceSearch8x16=1 -p SearchMode=3 -p EPZSPattern=5 -p EPZSDualRefinement=6 -p BiPredMERefinements=1 -p PSliceSearch8x4=1 -p BSliceSearch16x16=1 -p MDDistortion=2 -p MEDistortionHPel=2 -p PSliceSearch8x8=1 -p ChromaMEEnable=2 -p BSliceSearch16x8=1 -p EPZSSubPelMEBipred=1 -p MEDistortionQPel=2 -p PSliceSearch16x8=1 -p DisableSubpelME=0 -p BiPredMotionEstimation=1 -p RDOQ_Fast=1 -p MEDistortionFPel=1 -p WeightedBiprediction=2 -p PSliceSearch16x16=1 -p PSliceSearch4x4=1 -p BiPredMESearchRange=2 -p EPZSSubPelME=1
c57	-p SearchRange=64 -p PSliceSearch8x16=1 -p NumberReferenceFrames=4 -p PSliceSearch4x8=1 -p BSliceSearch8x4=1 -p BReferencePictures=2 -p BSliceSearch8x8=1 -p UseRDOQuant=1 -p WeightedPrediction=1 -p BiPredMESubPel=2 -p BSliceSearch8x16=1 -p SearchMode=3 -p EPZSPattern=5 -p EPZSDualRefinement=6 -p BiPredMERefinements=1 -p PSliceSearch8x4=1 -p BSliceSearch16x16=1 -p MDDistortion=2 -p MEDistortionHPel=2 -p PSliceSearch8x8=1 -p ChromaMEEnable=2 -p BSliceSearch16x8=1 -p EPZSSubPelMEBipred=1 -p MEDistortionQPel=2 -p PSliceSearch16x8=1 -p DisableSubpelME=0 -p BiPredMotionEstimation=1 -p RDOQ_Fast=1 -p MEDistortionFPel=1 -p WeightedBiprediction=2 -p PSliceSearch16x16=1 -p PSliceSearch4x4=1 -p BiPredMESearchRange=0 -p EPZSSubPelME=1
c58	-p SearchRange=64 -p PSliceSearch8x16=1 -p NumberReferenceFrames=4 -p PSliceSearch4x8=1 -p BSliceSearch8x4=1 -p BReferencePictures=2 -p BSliceSearch8x8=1 -p UseRDOQuant=1 -p WeightedPrediction=1 -p BiPredMESubPel=2 -p BSliceSearch8x16=1 -p SearchMode=3 -p EPZSPattern=5 -p EPZSDualRefinement=6 -p BiPredMERefinements=1 -p PSliceSearch8x4=1 -p BSliceSearch16x16=1 -p MDDistortion=2 -p MEDistortionHPel=2 -p PSliceSearch8x8=1 -p ChromaMEEnable=2 -p BSliceSearch16x8=1 -p EPZSSubPelMEBipred=1 -p MEDistortionQPel=2 -p PSliceSearch16x8=1 -p DisableSubpelME=0 -p BiPredMotionEstimation=1 -p RDOQ_Fast=1 -p MEDistortionFPel=1 -p WeightedBiprediction=2 -p PSliceSearch16x16=1 -p PSliceSearch4x4=1 -p BiPredMESearchRange=8 -p EPZSSubPelME=0
